Golpe,text_content,count,processed_text_content,n_words
0,https://noticias.uol.com.br/politica/ultimas-noticias/2022/08/30/patrimonio-familia-jair-bolsonaro-dinheiro-vivo.htm,378,noticia uoler,116
1,"🟢 PASSAPORTE SANITÁRIO 🟢

Registro doses da vacina diretamente no ConectSus e entram na hora!

👉🏻 Entre na faculdade sem medo!
👉🏻 Continue em seu emprego!
👉🏻 Faça a sua viagem sem preocupação!
👉🏻 Seu filho em paz na escola!
👉🏻 Apresente no concurso ou hospitais

ATUALIZE SUAS DOSES

APROVEITE para fazer o seu PASSAPORTE SANITÁRIO HOJE!!!

👇🏻 Me Chame no privado Agora 👇🏻
@liliabelha",85,"circulo_verde passaporte sanitario circulo_verde 
 
 registro dose vacinar diretamente conectsus entrar hora ! 
 
 dorso_da Faculdade medo ! 
 dorso_da continuar emprego ! 
 dorso_da fazer viagem preocupacao ! 
 dorso_da filho paz escola ! 
 dorso_da apresente concurso hospital 
 
 atualizar dose 
 
 aproveitar fazer passaporte sanitario hoje ! ! ! 
 
 dorso_da chame privado agora dorso_da 
 liliabelha",384
1,"🤳PASSAPORTE DE VACINAÇÃO 🤳

♾ AGORA QUE O EX-PRESIDIÁRIO FOI ELEITO, A CARTEIRINHA DE VACINA COVID-19 SERÁ MAIS OBRIGATÓRIA DO QUE NUNCA ( infelizmente). ♾


🔔NÃO PERCA E ARRISQUE SUA VIDA AO TOMAR ESSE VENENO 🔔


💳 FAÇA AGORA SUA CARTEIRINHA DE VACINA E SE LIVRE DESSE MAL 💳


• CONSTA NO CONECT SUS / POUPA TEMPO ✅

• A DOSE CAI NA HORA ✅

• ACOMPANHA QR CODE ✅

• SERVE EM TODOS PAÍSES E ESTADOS ✅


💵 PAGAMENTO APÓS CONFIRMAÇÃO DAS DOSES NO APP 💵


🖋 NÃO PERCA SEU EMPREGO/FACULDADE 🖋


CHAME AGORA NO PRIVADO @vacinanaoofc ✅",72,"selfie passaportar vacinocao selfie 
 
 infinito agora ex presidiario eleger carteirinhar vacino covid obrigatorio nunca infelizmente infinito 
 
 
 sino perca arrisque vidar tomar veneno sino 
 
 
 cartao_de fazer agora carteirinhar vacino livre de esse mal cartao_de 
 
 
 * constar conect sus poupar tempo marca_de 
 
 * doser cair hora marca_de 
 
 * acompanhar qr coder marca_de 
 
 * servir todo pais estado marca_de 
 
 
 nota_de pagamento apos confirmacao dosers appr nota_de 
 
 
 caneta_tinteiro perca emprego Faculdade caneta_tinteiro 
 
 
 chame agora privado vacinonaoofc marca_de",529
1,"É bom ver todos felizes, estou muito feliz com a forma como minhas finanças têm sido tratadas aqui com o máximo de flexibilidade e transparência.  Mais uma vez, aplaudo a todos que estão por trás deste projeto ou plataforma, eu diriapara se sentir à vontade e fazer seus investimentos com a melhor plataforma de todos os tempos",60,bom ver todo feliz feliz forma financas ter ser tratar aqui maximo flexibilidade transparencio vez aplaudo todo tras de este projeto Plataforma diriaparar sentir vontade fazer investimento bom Plataforma todo tempo,327
0,para mais informações sobre nossa plataforma de investimento e para iniciar um investimento conosco contato: @AdrianaFXTD,60,informacao sobre Plataforma investimento iniciar investimento conosco contato adrianafxtdr,121
1,"ENVIE SEU PEDIDO !!!

OI ?

OLÁ ?

QUÃO?

QUER INVESTIR?
 
QUER SABER MAIS SOBRE INVESTIMENTOS?

COMO DEVO COMEÇAR?

COMO POSSO INVESTIR?

COMO SABER MAIS DO QUE ESTAMOS FAZENDO AQUI?

👇👇👇👇👇👇

Clique no link
e me mande uma mensagem agora

   👇👇👇

 https://t.me/Manager_Marcus_Chat_Up_Now",59,"enviar pedir ! ! ! 
 
 oi ? 
 
 ola ? 
 
 quao ? 
 
 quererer investir ? 
 
 quererer saber sobre investimento ? 
 
 dever comecar ? 
 
 poder investir ? 
 
 saber fazer aqui ? 
 
 dorso_da dorso_da dorso_da dorso_da dorso_da dorso_da 
 
 clicar linkr 
 Mande mensagem agora 
 
 dorso_da dorso_da dorso_da 
 
 t",287
0,"Erros do Judiciário beneficiaram petista, que teve maioria das acusações prescritas, suspensas ou arquivadas…

O ex-presidiário Lula, livre há 2 anos, 9 meses, e 21 dias, ainda continua com problemas na justiça, o petista segue com 5 processos trancados e/ou suspensos na Justiça. Mesmo dizendo que foi “absolvido de tudo”, o petista foi considerado inocente em só 3 dos 11 processos mais conhecidos.

Lula foi absolvido por suposta obstrução de Justiça envolvendo o silêncio de Nestor Cerveró, por organização criminosa no caso do “Quadrilhão do PT” e na operação Zelotes, que denunciou o petista por corrupção passiva pela suposta aprovação de Medida Provisória em troca de contrapartidas ao PT.

Os casos do terreno e das doações ao Instituto Lula, que teriam usado repasses da Odebrecht, foram suspensos por Ricardo Lewandowski. O ministro do Supremo Tribunal Federal também paralisou o trâmite da ação que apurava a compra de 36 caças suecos pelo governo Dilma Rousseff. O processo acusava Lula de tráfico de influência, lavagem de dinheiro e organização criminosa.

Os processos em que Lula era acusado de receber R$ 1 milhão para intermediar discussões entre o governo de Guiné Equatorial e o grupo brasileiro ARG foi trancado pelo TRF-3. Já o caso que mirava suposto tráfico de influência do petista para aumentar a linha de crédito da Odebrecht junto ao BNDES foi retirado de pauta pela Justiça do DF.

Esses casos voltaram à estaca zero e deveriam, em tese, ter as investigações retomadas. Mas, não há tempo hábil para os processos avançarem até uma denúncia pelo Ministério Público. Por causa da idade de Lula, os casos serão prescritos. A prescrição se dá quando o Estado perde o prazo para investigar e julgar um crime. O cálculo do tempo é feito de acordo com tipo de delito. No caso do petista, por ter mais de 70 anos, o prazo é reduzido pela metade.

Fonte: https://vistapatria.com.br/lula-diz-que-foi-absolvido-mas-segue-com-problemas-na-justica/",46,"erro judiciario beneficiar petista maioria acusacao prescrito suspenso arquivado... 
 
 ex presidiario Lula livre ano mes dia ainda continuar problema Justica petista seguir processo trancar suspenso Justica dizer ""absolver tudo"" petista considerar inocente processo conhecer 
 
 Lula absolver suposto obstrucao Justica envolver silencio nestor cervero organizacao criminoso caso ""quadrilhao pt"" operacao zelotes denunciar petista corrupcao passivo suposto aprovacao medida provisorio trocar contrapartida pt 
 
 caso terreno doacao instituto Lula usar repasse odebrechtrr suspenso ricardo lewandowski ministro Supremo Tribunal federal paralisar tramitar acao apurar compro caca sueco governo Dilma rousseff processo acusar Lula trafico influenciar lavagem dinheiro organizacao criminoso 
 
 processo Lula acusar receber r milhao intermediar discussao governo Guine equatorial grupo brasileiro arg trancar trf caso mirar suposto trafico influenciar petista aumentar linha credito odebrechtrr junto bndes retirar pauta Justica df 
 
 caso voltar estaca zero dever tese ter investigacao retomadas tempo habil processo avancar denuncia Ministerio publico causar idade Lula caso prescritos prescricao dar estado perder prazo investigar julgar crime calculo tempo fazer acordo tipo delito caso petista ter ano prazo reduzir metade 
 
 fonte vistapatr",1964
1,"Recebi meu lucro, investir nesta empresa foi a melhor decisão que tomei na minha vida e eu entrei há pouco tempo, obrigado admin por me tornar financeiramente estável 😍suas palavras foram logo após 12 horas de investimento recebi imediatamente 😍",43,recebi lucro investir em este empresa bom decisao tomei vida entrar pouco tempo obrigar admin tornar financeiramente estavel rosto_sorridente palavra logo apos hora investimento recebi imediatamente rosto_sorridente,245
0,"*7 DICAS DA CAMPANHA DO BOLSONARO PARA TIRAR VOTOS DO LULA*

*1️⃣ Não perca tempo discutindo com lulistas convictos ⏱️*
Se a pessoa defende o Lula até hoje, será muito difícil virar seu voto. Foque sua energia nos eleitores indecisos ou naqueles que você já viu criticar Lula em algum momento, e ajude a garantir que não votarão nele ✅

*2️⃣ Fale dos temas que mais afastam pessoas do Lula 🗣️*
Pesquisas mostram que os três temas que mais afastam pessoas do Lula são: *Ausência de liberdade*, burocracia, como a obrigatoriedade de pagar impostos aos sindicatos. *Corrupção* Esquema de compra de votos usando dinheiro das estatais para se manter permanentemente no poder e manipular o povo *Corrupção moral* Anti-cristianismo, liberação das drogas, aborto, sexualização de crianças. 

*3️⃣ Ataque Lula, e não seus apoiadores ou indecisos 🎯*
Quando você ofende pessoas que ainda estão indecisas, _isso leva elas a se afastarem de você e do Bolsomito._ Fale mal do Lula e de políticos que estão perto dele, mas *não fale mal dos eleitores indecisos* e nem mesmo do cidadão comum que segue Lula. Sabemos que dá muita vontade de sair xingando, mas na prática isso não funciona - precisamos trazer as pessoas para perto de nós 😉

*4️⃣ Escolha as palavras certas para criticar Lula ✏️*
Pesquisas mostram que algumas palavras funcionam melhor do que outras para afastar eleitores indecisos do Molusco. *As que MAIS funcionam são: Desumano, despreparado, irresponsável, ladrão, vagabundo.* _As que MENOS funcionam são: Comunista, assassino, quadrilheiro, mensaleiro, e xingamentos com palavrões em geral._ Priorize as que mais funcionam, ainda que dê vontade de usar as que menos funcionam

*5️⃣ Fale da sua experiência pessoal 💁‍♀️*
As pessoas se conectam muito com testemunhos pessoais. É sempre válido falar de forma ampla sobre como Lula é terrível, mas mais poderoso do que isso é falar sobre *como Lula fez mal para a sua vida:* Você sofreu perseguição política? Ficou sem emprego por causa do lockdown? Perdeu parentes ou amigos por falta de tratamento precoce contra o covid? Está cansado de pagar impostos? Grave um vídeo, áudio ou escreva um texto falando sobre isso a partir do seu lugar enquanto cidadã ou cidadão 📲

*6️⃣ Ocupe espaços onde os eleitores indecisos estão 📍*
Não adianta ficar só no Twitter ou só em grupos onde a maioria das pessoas já é eleitora do Bolso. Precisamos tirar votos do Lula de forma efetiva *onde estão os indecisos:* nos grupos de família e de colegas de trabalho, no Facebook que faz tempo que você não usa (mas ainda é a maior rede social do Brasil), nos comentários do Instagram e também criando conteúdos para o TikTok

*7️⃣ Use o humor 😂*
Conteúdos sérios e alarmantes para denunciar o que Lula representa são importantes, _mas também cansam._ O que funciona bem para compensar isso são conteúdos bem-humorados, que criticam Lula de forma leve e divertida, dando alívio cômico para a situação horrível que vivemos. *Use e abuse dos memes, figurinhas e vídeos que zoam Lula, Dilma e o PT* 

*VAMOS JUNTOS ELEGER BOLSONARO 22, VAMOS COM O CAPITÃO!*",38,"* dica campanha bolsonaro tirar voto Lula * 
 
 *  perca tempo discutir lulista convicto cronometro * 
 pessoa defender Lula hoje dificil virar voto foque energiar eleitor indeciso em aqueles ver criticar Lula algum momento ajude garantirr votar em ele marca_de 
 
 *  falar tema afastar pessoa Lula silhueta_falar * 
 pesquisa mostrar tres tema afastar pessoa Lula * ausencia liberdade * burocracia obrigatoriedade pagar imposto sindicato * corrupcao * esquema comprar voto usarr dinheiro estatal manter permanentemente poder manipular povo * corrupcao moral * antir cristianismo liberacao droga aborto sexualizacao crianca 
 
 *  ataque Lula apoiador indeciso no_alvo * 
 ofender pessoa ainda indeciso _ levar afastar bolsomito _ falar mal Lula politico perto * falar mal eleitor indeciso * cidadao comum seguir Lula saber dar muito vontade sair xingar pratica funcionarr precisar trazer pessoa perto rosto_com 
 
 *  escolha palavra certo criticar Lula lapis * 
 pesquisa mostrar algum palavra funcionarrm bom outro afastar eleitor indeciso molusco * funcionarrm desumano despreparar irresponsavel ladr vagabur * _ menos funcionarrm comunista assassino quadrilheiro mensaleiro xingamento palavrao geral _ priorizar funcionarrm ainda de vontade usarr menos funcionarrm 
 
 *  falar experiencia pessoal mulher_com * 
 pessoa conectar testemunho pessoal sempre valido falar forma amplo sobre Lula terrivel poderoso falar sobre * Lula fazerer mal vida * sofrer perseguicao politico ? ficar emprego causarr lockdown ? perder parente amigo faltar tratamento precoce contra covid ? cansado pagar imposto ? grave video audio escreva texto falar sobre partir lugar enquanto cidada cidadao telefone_ceLular 
 
 *  ocupe espaco onde eleitor indeciso tacha_redonda * 
 adiantar ficar twitter grupo onde grande pessoa eleitora bolso precisar tirar voto Lula forma efetivo * onde indeciso * grupo familiar colega trabalho facebook fazer tempo usar ainda grande rede social Brasil comentario instagr criar conteudo tiktok 
 
 *  usar humor rosto_chorar * 
 conteudo serio alarmante denunciar Lula representar importante _ cansar _ funcionarr bem compensar conteudo bem humorado criticar Lula forma levar divertido dar alivio comico situacao horrivel vivemos * usar abusar meme figurinha video zoam Lula Dilma pt * 
 
 * ir junto eleger bolsonaro ir capitao ! *",3084
0,"ANTECIPAÇÃO DO PAGAMENTO DO AUXÍLIO BRASIL E DO AUXÍLIO GÁS:

 O pagamento do Auxílio Brasil, referente ao mês de outubro, terá início na próxima terça (11), para beneficiários com Número de Identificação Social (NIS) terminado em 1, e vai até 25/10 (para beneficiários com NIS de final 0).

Este mês, será paga também mais uma parcela do Auxílio Gás. O benefício é bimestral e seu valor equivale ao valor da média nacional do botijão de gás de cozinha de 13 quilos.

Tanto no caso do Auxílio Gás como no Auxílio Brasil, os valores recebidos podem ser movimentados pelo aplicativo Caixa Tem. Ou seja, o beneficiário não precisa se deslocar até uma agência da Caixa para ter acesso ao dinheiro.

Além disso, com a função débito do cartão do Auxílio Brasil, o cidadão pode realizar compras. Outra função disponível por meio do cartão é o saque, que pode ser feito nos terminais de autoatendimento, casas lotéricas, correspondentes Caixa Aqui e agências da Caixa.",37,"antecipacao pagarmento Auxilio Brasil Auxilio gas 
 
 pagarmento Auxilio Brasil referente mes outubro inicio proximo terca beneficiario numero identificacao social nis terminar ir beneficiario nis final 
 
 mes pagar parcela Auxilio gas beneficio bimestral valor equivaler valor media nacional botijao gas cozinhar quilo 
 
 tanto caso Auxilio gas Auxilio Brasil valor recebir poderrr movimentado aplicativo caixo beneficiario precisar deslocar agencia caixo ter acesso dinheiro 
 
 alem de isso funcao debito cartao Auxilio Brasil cidadao poderr realizar compra outro funcao disponivel meio cartao saque poderr fazer terminal autoatendimento caso loterico correspondente caixo aqui agencio caixo",960
