,text_content,Contador,Golpe
0,"🥳 *EMPRÉSTIMO SIMPLES E RÁPIDO SEM BUROCRACIA*🥳
💵 _Receba em até 30 minutos_💵

*Leia o informativo*
Pague em até 48× e receba na hora
Sem consultar ao *SPC* e nem *SERASA*
Esse empréstimo é financiado pra vc que está negativado com o *Nome sujo* ou *Score* baixo e não sabe como sair das dívidas.
*Com Entrada mais Parcelas*
👉🏼 Os boletos serão enviados por seu endereço ou email!!

*Por favor so Chamar no PV Somente interessados*

*Segue a simulação e o valor do empréstimo abaixo*

💵Empréstimo de 1.000 entrada de 150 + 10× de 150

💵Empréstimo de 2mil entrada de 200 + 10× de 230

💵Empréstimo de 3mil entrada de 300 + 10× de 330

💵Empréstimo de 4mil entrada de 400 + 10× de 440

💵Empréstimo de 5.500 entrada de 500 +10× de 580

*Valores mais altos, somente no CNPJ*

*Obs: Para parcelamento em até 48 é outro orçamento*
⚠️No atraso das parcelas terá um pequeno juros diário, e se  pagar certinho, terá uma gratificação.

🛑A entrada é obrigatório pois não consultamos SPC e nem SERASA. E não consultamos aonde tá devendo. ✔️
No entanto, só faça esse empréstimo só se vc tiver condições de pagar, pra não virar uma bola de neve. 

*Chame no PV Somente vc que leu esse certificado com atenção e venha fazer seu orçamento*

📲 SOLICITE 😁♾👇

https://wa.me/559492238643


🔰 GRUPO WHATSAPP ✅",175,1
1,"💲🔥 *URGENTE* 🔥💲
💯 *NOSSO GRUPO DE REFERÊNCIA ENTRE E ACOMPANHE NOSSO TRABALHO SÓ FAÇA NEGÓCIOS COM ADMINISTRADOR DO GRUPO*
https://chat.whatsapp.com/EQSghsMRjwX594I9hIkxTA
✅ *PARA MAIS INFORMAÇÕES CHAME NESSE LINK ABAIXO ATENDEREI A TODOS* 
http://api.whatsapp.com/send?1=pt_BR&phone=+5584987836057
🏦 *2.200 NA SUA CONTA POR MÊS*
🚨 *ESTAMOS CONTRATANDO PESSOAS DE QUALQUER IDADE PARA TRABALHAR NAS DIVULGAÇÕES NÃO PERCA TEMPO*
      *TRABALHAMOS COM!*
💱 *TRANSFERÊNCIA PIX DIRETO NA SUA CONTA* 💱
🚥 *VENDEMOS HABILITAÇÃO DIRETO DO DETRAN DA SUA CIDADE* 🚥
💳 *VENDEMOS CARTÃO DE CRÉDITO* 💳
📝 *CPF RG DIPLOMAS* 📝
🍀 *LIMPAMOS SEU NOME E AUMENTAMOS SCORE* 🍀
🏛️ *PAGAMENTO DE BOLETOS PELA METADE DO PREÇO* 🏛️
📲 *TEMOS NOTEBOOK DRONES*
💫 *TEMOS CELULARES TVS* 💫
🔴 *CARTEIRA DE ESTUDANTE* 🔴
🔴 *RESERVISTA PASSAPORTE* 🔴
🔴 *ATESTADO LAUDO* 🔴
🚨 *FAZEMOS SERVIÇOS HACKERS* 🚨 *DESCOBRIMOS QUALQUER SENHA DE QUALQUER CONTA*
🔴 *BANCÁRIA* *WHATSAPP*
🔴 *FACEBOOK* *INSTAGRAM*
📑 *VENDEMOS DIPLOMAS ORIGINAL* 📑
🔴 *ENSINO MÉDIO*
🔴 *ENSINO SUPERIOR*
🔴 *ALVARÁ CERTIDÃO*
🔴 *ESCRITURA DE CASA*
🔴 *TIRAMOS PONTOS DA SUA CNH*
🔴 *PROCURAÇÃO e RECIBOS*

💹 *AÍ VC VAI ME PERGUNTAR SE É SEGURO* ? 

🏆 *SIM É SEGURO PARA GARANTIR A SEGURANÇA FAÇO POR CONTA DIRETO NO PIX E NUNCA TIVE POBLEMAS COM CLIENTES E NENHUM CLIENTE TEVE POBLEMAS COM ISSO*

⚠️ *TA DUVIDANDO QUE DA PRA SAIR DO APERTO FINANCEIRO MAS TAMBÉM NÃO QUER ATRASAR A VIDA DE NINGUÉM*

*ANTECIPAÇÃO PIX*
*DIVERSAS REFERÊNCIAS E* *COMPROVAÇÕES QUE* *REALMENTE FUNCIONA*🤝
*O DINHEIRO CAI NA SUA CONTA NA HORA SEM ENROLAÇÃO 💸💸*
*SEGURANÇA E GARANTIA* *DE PROTEÇÃO TOTAL DE DADOS*
*DUVIDAS CHAMA NO PRIVADO ©️*",158,1
2,"E AGORA XANDÃO ? 
Vai mandar prender o General Gilberto Pimentel ? 🤔🤭💪😂😂

*CARTA BOMBÁSTICA POSTADA NO 
""BRASIL PELO EXARNET"",  
BLOG FECHADO DO EXÉRCITO.*

Meus amigos de trincheiras, em um momento de instabilidade nacional em que o País passa, eu colocarei aqui alguns pontos muito importantes que estão engasgados na garganta.

Com 41 anos de Carreira Militar, desde que ingressei ainda em nosso glorioso Regime Militar Democrático, aos 18 anos, no Exército e por meritocracia cheguei a General de Brigada do Exército, e agora sigo atuando pelo Comando de presidir o nosso Clube Militar. 
Eu nunca vi o que está acontecendo com a nossa Pátria.

Entre tantas preocupações e anseios que a Sociedade necessita nesses tempos difíceis e sombrios que passamos, ainda existem aqueles que insistem em nos provocar e nos intimidar pelas Vias Radicais e Ditatoriais.

Esse Tribunal que se diz ser Supremo, afronta a Nação de uma forma irresponsável, podando e talhando os Direitos Constitucionais adquiridos na constituição de 1988. 

Querendo mostrar uma força que nós, Militares desconhecemos. 
E há aqueles que dizem ainda que: 
""Os 21 anos de Ouro foram de trevas e repressores"". 

Mas então eu coloco aqui a pergunta: 
""O que estamos vivendo agora?"" 
""DEMOCRACIA""? 

Em um gesto covarde e absurdo de um homem que se acha Deus Supremo, aplica inquéritos de censuras a liberdade de imprensa, e de seu povo que absolutamente não quer mais esses homens no Poder e tem o poder e direito de manifestar-se. 

E simplesmente dois bandidos de toga se acham no direito de reprimir e cassar pessoas, Jornais, Jornalistas, e Generais, como se fossem animais selvagens.

Querendo amordaçá-los com suas focinheiras escrotas de autoritarismo barato. 
Isso é um absurdo!

Quero alertá-los que dentro do Clube que estou a servir, isso caiu como um martelo no centro dos Generais, que já se levantaram e intimaram até mesmo o chefe de Estado que esteve conosco semana passada.

Viu-se no próprio Presidente da República, o temor e o medo de se expressar contra essa corja de canalhas. 

Sabendo disso Senhores, o próprio Chefe de Estado, se assim posso usar essa expressão: 
""Está em um mato sem cachorro"". 

Alguém terá que parar esses inescrupulosos homens deuses. 
Nós juramos defender a Pátria! 
Começou em 1964. 
Os senhores meus amigos sabem muito bem.

Uma coisa leva a outra!!! 
Assim estou expressando meu maior sentimento de repúdio a esse Supremo Tribunal da vergonha. 
Será que também vão invadir minha casa? 

Nem em uma Ditadura mais opressora, viu-se o que está acontecendo em nosso País. 
Uma população que está acomodada em berço esplêndido e ao mesmo tempo oprimida ao seu maior medo. 
""O direito de se expressar"".

Nós das FFAA sabemos muito bem o que devemos fazer para impedir tudo isso, mas agora cabe saber o que a Sociedade de bem deseja. 
Porque quero já alertá-los, se isso começar, não terá mais volta, e todos nós sabemos muito bem disso.

Convoco aqui, como Chefe de Instituição Militar, uma grande mobilização dos nosso amigos oficiais patriotas e que essa carta se espalhe para todos vocês e se unam ao meu sentimento, porque depois que as lagartas se moverem, não reclamem de quem tem o poder de verdade de recuperar essa Nação. 

Mais uma vez alerto que: 
Quando tudo está parado e sequestram o direito de um Presidente de governar, não há mais o que fazer, a não ser agirmos em prol e em defesa da Nação. 

Que pena, que pena que nos tiraram esse poder institucional. Será que teremos que ver o País ser dominado por completo por meia dúzia de raposas Comunistas e não fazermos nada?

*Onde está a sociedade que não nos outorga isso?*

 Ao mesmo tempo que a sociedade está cansada de tantas falácias e declarações nossas, nós também estamos cansados de ver o País afundar sem poder mover o pino da granada.

Me perdoem as palavras ríspidas e diretas, mas o momento é oportuno em se fazer esse alerta urgente! 

Meus amigos de farda, levantemo-nos agora, e estejamos em QAP total de prontidão. 
Um grande abraços a todos.

Nosso exército nunca dorme! 
Aço, selva.

General de brigada Gilberto Pimentel

Presidente do Clube Militar.

SOMOS TODOS FFAA, 
Vamos fazer a limpeza, já passou da hora. 
Se você concorda, compartilhe muito. 
Eles só poderão começar algo se forem convocados por nós, a maioria do povo brasileiro. 
NÃO DEIXE PASSAR ESTA OPORTUNIDADE.
*Se o seu desejo é colocar um final nesta situação, compartilhe*👏🏻👍🏻🇧🇷.  Recebi e te enviei.",116,1
3,"*ATAQUE DE LULA AO “MEI” CAUSA REVOLTA E PODE DECIDIR ELEIÇÃO*
Lula causa preocupação e revolta ao atacar MEI. Categoria soma-se agora aos entregadores e motoristas de aplicativo que temem perder seus trabalhos com vitória do petista.

Confira:
https://novaiguacu24h.com.br/declaracao-de-lula-sobre-mei-causa-revolta-e-pode-decidir-eleicao/

*COMPARTILHEM PARA SALVAR EMPREGOS DOS MEI, UBER E iFOOD* 🚨",114,0
4,"A juíza substituta da 6ª Vara Criminal de Londrina - PR, Dra. Isabele Papafanurakis Ferreira Noronha, escreveu um texto espetacular que merece ser compartilhado por todos! 

👉🏻 Que sua rejeição por ele não seja maior que sua rejeição pela corrupção. 

👉🏻 Que sua rejeição por ele não seja maior que sua rejeição de ver o país governado de dentro da prisão pelos comandos de um candidato condenado em duplo grau de jurisdição, assim como ocorre com os líderes das facções criminosas já tão conhecidas. 

👉🏻 Que a sua rejeição por ele não seja maior que os ensinamentos que você recebeu de seus pais sobre não subtrair aquilo que é dos outros. 

👉🏻 Que sua rejeição por ele não seja maior que os princípios de educação, moral e cívica que você aprendeu quando criança nos bancos das escolas, na época em que escola ensinava o que, realmente, era papel da escola. 

👉🏻 Que sua rejeição por ele não seja maior do que sua indignação com a inversão de valores existentes em nossa sociedade atual. 👈🏻

👉🏻 Que sua rejeição por ele não seja maior do que seu medo de viver o que já está vivendo a população dos países “amigos deles”, tais como, Venezuela, Bolívia e Cuba. 

👉🏻 Que sua rejeição por ele não seja maior que sua indignação com cada escândalo de corrupção e desonestidade revelados na lava a jato. 

👉🏻 Que sua rejeição por ele não seja maior do que seu pânico de viver numa sociedade tão insegura, onde pais de família são mortos diariamente e audiências de custódias são criadas para soltar aqueles que deveriam pagar por seus crimes. 👈🏻

👉🏻 Que sua rejeição por ele não o leve ao grave erro de demonizar a polícia e santificar bandido. 

👉🏻 Que sua rejeição por ele não seja maior que sua defesa pelo fortalecimento da família, como estrutura básica da sociedade. 👈🏻

👉🏻 Que sua rejeição por ele não seja maior do que sua repulsa pelo mal que as drogas tem causado em nossas famílias.👈🏻

👉🏻 Que sua rejeição por ele não seja maior que sua esperança de ter um país melhor para viver. 👈🏻 

👉🏻 Que sua rejeição por ele não tire sua capacidade crítica de apurar tudo que é tendencioso na mídia. 

👉🏻 Enfim, que sua rejeição por ele não o deixe cego a ponto de não enxergar que, neste momento, o Brasil está numa UTI e seu voto deve ser ÚTIL para salvá-lo. Não brinque com isso, não se iluda com a maquiagem dos discursos bonitos. A situação do Brasil  é séria. 



🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷  https://www.jornaldacidadeonline.com.br/noticias/11519/texto-de-magistrada-sobre-a-rejeicao-a-bolsonaro-viraliza-nas-redes-sociais",68,0
5,"JÁ ESTAMOS EM CAMPANHA! LEIAM E REPASSEM PARA TODOS OS SEUS CONTATOS. VAMOS FAZER EXATAMENTE ISSO QUE ESTÁ SENDO SUGERIDO! 
COMPARTILHEM, DIVULGUEM. NOSSA ARMA É ESTA.

ACABO de RECEBER !!

“Orientação de nosso Presidente Jair Bolsonaro"".

-Para todos os Brasileiros:

Os  Partidos Vermelhos, planejam realizar manifestações em todo o BRASIL. 

-A principal finalidade é a provocação, gerar o descrédito das autoridades e perturbar a ordem. 

-Vocês que são Brasileiros do bem, façam o seguinte:

...NÃO filmem os eventos, 
...NÃO repassem o que receberem, 
...NÃO encaminhem para ninguém.
...NÃO postem nada sobre Lula, charge, brincadeiras, críticas e elogios. 

-Apaguem a propaganda vermelha, force-os a fazerem suas próprias Propagandas para si mesmos, gastando do dinheiro e não usando suas PÁGINAS em favor deles.

-Falemos e vamos fazer compartilhamento somente da Direita e de BOLSONARO, divulgando suas obras e o belo crescimento econômico, saúde com as milhões de Doses compradas e a confiança dos investidores em nossa economia. 

-Quebrem a rede de difusão do mal.
           **

NÃO DISCUTAM. 

NÃO CRIEM ECO.
               *
-IGNORE-OS NAS SUAS REDES, OCULTANDO-OS E EXCLUINDO.

-NÃO FAÇAM COMENTÁRIOS. 

-As Redes Sociais só funcionarão como uma mídia de divulgação para eles se assim o permitirmos.

-Trate-os como se não existissem. 

-Eles só ganham força se tiverem contrapontos, discussões, divulgação, compartilhamento e encaminhamento de mensagens. 

-Não caiam na armadilha de disseminar o ódio quebrando a corrente da indiferença.

-Para eles, Deus, o País, a Família, os Valores Morais e Cristãos não têm nenhum sentido.

NÃO DÊ ECO!

-Eles Cairão por Si Só ! 

-Ignore-os !

-Repassem essa Mensagem em todas as suas Redes Sociais e entre Grupos e Amigos.

-***BRASIL ACIMA DE TUDO !🇧🇷
-DEUS ACIMA DE TODOS !🙏",58,0
6,"Espalhem esta mensagem para todos os Mineiros que vocês conhecem. 
Pela 1a vez em 30 anos Minas vai sair da miséria. 
A coligação do Zema com 600 prefeitos, o presidente e o Vice-presidente Braga Neto, que é nascido em Belo Horizonte, é a maior oportunidade que nosso estado terá de se tornar tão rico como São Paulo. 
Receberemos verbas para duplicação das principais estradas do Estado. Será duplicada a 262 que vai para o Espírito Santo, A 381 também. 
Vai turbinar o turismo em Minas. 
Belo Horizonte receberá um metrô moderno que poderá transformar nossa cidade. 
Se cada Mineiro entender a importância que tem votar no 22, que é a coligação com o Zema, teremos um estado próspero e rico. 
Assistam este vídeo e entenderão. 
https://fb.watch/g0xQvvXEkT/",30,0
7,"https://wa.me/p/8464875553552406/558881112036
BRISANET CONECTANDO O MUNDO ATÉ VOCÊ 
SOLICITE SEM SAIR DE CASA*💻
😱INSTALAÇÃO *GRÁTUITA*
😱 ROTEADOR GRÁTUITO (COMODATO)*
😱1° PAG 30 DIAS APÓS INSTALAÇÃO
😱SEM CONSULTA AO SPC E SERASA
😱SUPORTE 24 HORAS
😱LIDER EM SATISFAÇÃO PELA ANATEL
✅ *PLANOS DE INTERNET*.
🌏 70MB   R$ 79,99
🌏200MB CONECTA + R$ 89,89
🌏300MB CONECTA + R$ 99,89
🌏500MB + BRISAMUSIC R$ 94,80
🌏700MB  R$ 139,90
🌏1GB.      R$ 199,90
Clica no link e solicite agora seu 
Plano da BRISANET*👇🏾
http://wa.me/5588981112036 
http://wa.me/5588981485153

😱☎️📺🎮📲📱💯💻",30,0
8,"https://istoe.com.br/obama-detona-lula-escrupulos-de-chefao-do-crime-e-corrupcao-bilionaria/

Seria impossível que o presidente dos EUA, simplesmente a maior potência econômica e militar do planeta, não soubesse de todos os mega esquemas de propina que abasteciam a cleptocracia lulopetista.

Procurado pela imprensa, o gatuno petista preferiu não se pronunciar. Fico imaginando o porquê, afinal, de líder sindical cativante a líder de ladrões de bilhões de reais, não deve ser fácil para “o cara” encarar a verdade, dita por um insuspeito político de notoriedade mundial. A “alma mais honesta deste pais” já era. Was gone!",28,0
9,"*ATENÇÃO!ATENÇÃO ESTE VÍDEO E MUITO FORTE SÓ ABRA SE TIVER CORAGEM ,LULA JÁ SE REUNIU COM TRAFICANTES NAS FAVELAS E NOS MORROS CERTAMENTE JÁ SE COMPROMETEU COM ELES DE LIBERAR AS DROGAS OQUE JÁ ESTÁ ACONTECENDO E VAI PIORAR OS JOVENS RECEBEM A DROGA DE GRAÇA DEPOIS DE VICIADOS NÃO TRABALHAM FICAM DEPENDENTES E COMEÇAM A ROUBAR PARA PAGAR SUAS DÍVIDAS COM OS TRAFICANTES,NÃO CONSEGUINDO O DINHEIRO PAGAM COM A VIDA E AINDA TEM MÃES E PAIS DE FAMÍLIA QUE QUEREM VOTAR NO INFELIZ DO LULA NÃO VOTEM NELE ,VOTEM NO BOLSONARO O 22,PORQUE EM QUANTO LULA SE REÚNE COM TRAFICANTES E BANDIDOS BOLSONARO DE JOELHOS REZA NAS IGREJAS PEDINDO A DEUS PARA CONTINUAR GOVERNANDO O BRASIL NA PÁZ ,PROIBINDO O TRÁFICO DE DROGAS E PROIBINDO O DESENCARCERAMENTODOS TRAFICANTES E BANDIDOS ,O TEXTO E A ADVERTÊNCIA E DE MARIA DO SOCORRO QUE TEVE TRÊS FILHOS VICIADOS E AGORA ESTÃO TODOS MORTOS*",28,0
